<animation name> <buffer name> <animation time> <should loop, 1 true, 0 false> <width> <height> <x count> <y count> <x offset> <y offset> <is flipped 1 true, 0 false>
tiles tile 0 0 16 16 2 1 0 0 0
tiles_solid tile 0 0 16 16 2 1 0 16 0
kira_click_anim kira_click 0.065 0 480 270 1 11 0 0 0
sha_front sha 0.45 1 16 16 4 1 0 0 0
sha_back sha 0 0 16 16 1 1 0 16 0
sha_side sha 2.5 1 16 16 2 1 0 32 0
sha_side_flipped sha 2.5 1 16 16 2 1 0 32 1
sha_fear sha 4 1 16 16 2 1 32 32 0
sha_color_blue sha_colors 0 0 16 16 1 1 0 0 0
sha_color_red sha_colors 0 0 16 16 1 1 16 0 0
sha_color_yellow sha_colors 0 0 16 16 1 1 32 0 0
editor_spawns editor_spawns 0 0 16 16 5 1 0 0 0
player_front player 0.45 1 15 25 3 1 0 0 0
player_back player 0.45 1 15 25 3 1 0 25 0
player_side player 0.45 1 15 25 3 1 0 50 0
player_side_flipped player 0.45 1 15 25 3 1 0 50 1
